pp,trial1,hit1,response1,outcome1,outcometype1,condition1,trial2,hit2,response2,outcome2,outcometype2,condition2
2,22,1,2,1,1,2,22,1,1,-1,2,3
2,23,1,2,1,1,2,23,0,2,1,1,3
2,24,1,2,1,1,2,24,1,1,-1,2,3
2,25,1,2,1,1,2,25,0,2,1,1,3
2,26,1,1,1,1,3,26,1,1,1,1,3
2,27,0,2,-1,2,3,27,0,2,-1,2,3
2,28,0,2,1,1,3,28,1,1,1,1,3
2,29,1,1,1,1,3,29,0,2,1,1,3
2,30,0,2,-1,2,3,30,1,1,-1,2,3
2,31,0,2,1,1,3,31,1,1,1,1,3
2,32,1,1,-1,2,3,32,1,1,-1,2,3
2,33,0,2,1,1,3,33,1,1,-1,2,3
2,34,0,2,1,1,3,34,0,1,-1,2,2
2,35,1,1,-1,2,3,35,0,1,-1,2,2
2,36,1,1,-1,2,3,36,1,2,1,1,2
2,37,0,2,-1,2,3,37,0,1,-1,2,2
2,38,0,2,-1,2,3,38,0,1,-1,2,2
2,39,0,2,-1,2,3,39,0,1,-1,2,2
2,40,1,1,1,1,3,40,0,1,-1,2,2
2,41,0,2,-1,2,3,41,0,1,-1,2,2
2,42,1,2,1,1,2,42,0,1,-1,2,2
2,43,1,2,1,1,2,43,0,1,-1,2,2
2,44,0,1,1,1,2,44,0,1,-1,2,2
2,45,0,1,1,1,2,45,0,1,-1,2,2
2,46,0,1,-1,2,2,46,0,1,-1,2,2
2,47,0,1,-1,2,2,47,0,1,-1,2,2
2,48,0,1,1,1,2,48,0,1,1,1,2
2,49,1,2,1,1,2,49,0,1,-1,2,2
2,50,1,2,1,1,2,50,1,1,1,1,1
2,51,1,2,1,1,2,51,1,1,-1,2,1
2,52,0,1,-1,2,2,52,1,1,1,1,1
2,53,0,1,-1,2,2,53,1,1,1,1,1
2,54,0,1,-1,2,2,54,1,1,1,1,1
2,55,1,2,1,1,2,55,1,1,1,1,1
2,56,1,2,1,1,2,56,1,1,1,1,1
2,57,0,1,-1,2,2,57,0,1,-1,2,2
2,58,0,2,1,1,1,58,0,1,-1,2,2
2,59,1,1,1,1,1,59,0,1,1,1,2
2,60,0,2,-1,2,1,60,0,1,-1,2,2
2,61,0,2,-1,2,1,61,0,1,-1,2,2
2,62,0,2,1,1,1,62,0,1,1,1,2
2,63,0,2,-1,2,1,63,0,1,-1,2,2
2,64,0,2,-1,2,1,64,0,1,-1,2,2
2,65,1,1,1,1,1,65,0,1,-1,2,2
2,66,1,1,1,1,1,66,0,1,-1,2,2
2,67,0,2,-1,2,1,67,0,1,1,1,2
2,68,0,2,-1,2,1,68,0,1,-1,2,2
2,69,0,2,-1,2,1,69,0,1,-1,2,2
2,70,0,2,-1,2,1,70,0,1,-1,2,2
2,71,0,2,-1,2,1,71,1,2,1,1,2
2,72,1,1,1,1,1,72,1,2,-1,2,2
2,73,0,2,-1,2,1,73,0,2,1,1,3
2,74,1,2,-1,2,2,74,0,2,-1,2,3
2,75,0,1,-1,2,2,75,0,2,1,1,3
2,76,0,1,-1,2,2,76,0,2,-1,2,3
2,77,0,1,-1,2,2,77,0,2,1,1,3
2,78,0,1,-1,2,2,78,0,2,-1,2,3
2,79,1,2,1,1,2,79,0,2,1,1,3
2,80,1,2,1,1,2,80,0,2,1,1,3
2,81,1,2,1,1,2,81,0,2,1,1,3
2,82,1,2,1,1,2,82,0,2,-1,2,3
2,83,1,2,1,1,2,83,0,2,-1,2,3
2,84,0,1,-1,2,2,84,0,2,-1,2,3
2,85,1,2,1,1,2,85,NA,NA,NA,NA,3
2,86,0,1,-1,2,2,86,0,2,-1,2,3
2,87,0,1,-1,2,2,87,NA,NA,NA,NA,3
2,88,1,2,1,1,2,88,1,1,1,1,3
2,89,1,1,1,1,3,89,1,1,1,1,1
2,90,0,2,1,1,3,90,0,2,1,1,1
2,91,0,2,-1,2,3,91,0,2,-1,2,1
2,92,1,1,1,1,3,92,1,1,1,1,1
2,93,1,1,1,1,3,93,1,1,1,1,1
2,94,0,2,-1,2,3,94,0,2,-1,2,1
